Bathroom,BHK,Size,Area
3,3,7.126890808898808,0
2,3,6.990256500493881,0
2,2,6.582025138892826,0
2,2,6.297109319933935,0
3,3,7.091742115095153,0
2,2,6.727431724850855,0
2,2,6.675823221634848,0
2,2,6.586171654854675,0
1,2,6.551080335043404,1
3,3,6.815639990074331,0
2,2,6.71174039505618,0
2,2,6.588926477533519,0
2,2,6.907755278982137,0
2,2,6.694562058521095,0
2,2,6.907755278982137,1
2,2,6.52795791762255,0
2,2,6.573680166960646,0
2,2,6.55250788703459,0
1,1,6.396929655216146,1
2,2,7.205635176410364,0
2,2,7.170119543449628,0
2,2,6.843749949006225,0
2,3,7.600902459542082,1
2,3,7.295735072749282,0
2,2,6.897704943128636,1
2,2,6.762729506931879,0
2,2,6.551080335043404,1
2,2,7.003065458786462,1
3,3,7.044905117129371,0
2,2,6.570882962339584,0
2,2,7.280697195384741,0
2,2,6.54534966033442,0
2,2,6.6895992691789665,0
2,2,7.049254841255837,0
3,3,7.090076835776092,0
2,2,6.555356891810665,0
2,2,6.516193076042964,0
2,2,6.621405651764134,0
1,1,6.0473721790462776,0
2,2,6.620073206530356,0
1,1,6.385194398997726,0
2,2,6.980075940561763,1
2,2,6.476972362889683,1
3,3,7.232733136177615,0
2,2,6.5722825426940075,0
3,3,6.949856455000773,0
3,3,6.951772164398911,0
3,3,7.090076835776092,0
2,2,6.583409222158765,0
2,2,6.907755278982137,0
2,2,6.710523109452428,0
3,3,7.090076835776092,0
2,2,6.620073206530356,0
3,3,7.135687347028144,0
2,2,6.796823718274855,0
1,2,6.214608098422191,1
2,1,6.253828811575473,1
2,2,6.802394763324311,1
2,2,6.620073206530356,1
2,2,6.905753276311464,0
2,3,7.003065458786462,0
2,2,6.9584483932976555,0
2,2,6.717804695023691,0
3,3,7.199678345691172,0
3,3,7.4949862339505335,0
3,3,7.303843225277705,0
1,1,6.476972362889683,1
3,3,7.147559271189454,0
3,3,7.172424577124845,0
2,1,6.159095388491933,0
2,2,7.003065458786462,1
3,3,7.090076835776092,0
2,2,6.784457062637643,0
3,3,7.53689712956617,0
3,3,7.495541943884256,0
2,2,7.057036981697891,0
2,2,7.117205503164344,0
2,2,6.907755278982137,1
3,3,7.118826249062078,0
2,2,6.86484777797086,0
2,2,6.79346613258001,0
3,3,7.090076835776092,0
3,3,7.249925536717988,0
1,1,5.680172609017068,1
2,2,7.090076835776092,0
2,2,6.804614520062624,1
2,2,6.584791392385716,0
2,2,6.925595197110468,0
2,2,6.895682697747868,1
3,3,7.078341579557671,0
2,2,7.1891677384203225,0
1,1,6.1092475827643655,0
2,2,6.7357800142423265,0
